Title,Price,Area_sqft,Bedrooms,Bathrooms,Location,Location_encoded,Price_scaled,Area_scaled,Bedrooms_scaled,Bathrooms_scaled,Price_per_sqft
Multi Garden B17 5 Marla House Far Sale Find Your Ideal House In Islamabad Under Rs. 24000000,24000000,1361.25,4,5,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.11162790697674418,0.048913043,0.3333333333333333,0.6666666666666666,17630.853994490357
Brend New House Fmc Available For Sale,41500000,1905.75,3,3,"MPCHS - Multi Gardens, B-17",8,0.2744186046511628,0.10326086956521739,0.2222222222222222,0.33333333333333337,21776.203594385413
House For Sale In B17,58000000,2722.5,5,7,"MPCHS - Block B Extension 1, MPCHS - Multi Gardens",1,0.4279069767441861,0.18478260869565216,0.4444444444444445,0.9999999999999999,21303.948576675848
Designer Brand New House (934)For Sale To Live And Investment.,57500000,2722.5,6,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.4232558139534883,0.18478260869565216,0.5555555555555556,0.8333333333333334,21120.293847566576
Corner House For Sale In F Block MPCHS 60 Feet Road Facing Both Sides,24500000,1361.25,4,5,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.11627906976744187,0.048913043,0.3333333333333333,0.6666666666666666,17998.163452708908
8 Marla Brand New Double Unit House. Available For Sale in MPCHS Multi Gardens. In Block E B-17 Islamabad.,22000000,2178,4,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.093023256,0.13043478260869562,0.3333333333333333,0.8333333333333334,10101.0101
Brand New Modern Design  Double Heighted Lobby  A+ Construction,85000000,5445,6,6,"MPCHS - Block A, MPCHS - Multi Gardens",0,0.6790697674418604,0.45652173913043476,0.5555555555555556,0.8333333333333334,15610.651974288337
11 Marla Elegant House With A Scenic View,49000000,2994.75,5,6,"MPCHS - Block A, MPCHS - Multi Gardens",0,0.34418604651162793,0.21195652173913043,0.4444444444444445,0.8333333333333334,16361.966775189916
8 Marla House for Sale in Faisal Margalla city B17 Islamabad,32000000,2178,4,4,"MPCHS - Multi Gardens, B-17",8,0.18604651162790697,0.13043478260869562,0.3333333333333333,0.5,14692.378328741965
Lavish Brand New 10 Marla House! Double Unit ! Prime Location! Reasonable Price Only 3.90 Cr ! In Mpchs Block C!,39000000,2722.5,6,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.25116279069767444,0.18478260869565216,0.5555555555555556,0.8333333333333334,14325.068870523415
Beautiful House For Sale,15500000,1089,3,3,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.032558139534883734,0.021739130434782594,0.2222222222222222,0.33333333333333337,14233.24150596878
Beautiful Modern Constructed House For Sale,21000000,1361.25,5,5,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.08372093,0.048913043,0.4444444444444445,0.6666666666666666,15426.997245179064
5 Marla Porta Fitting Solid Wood Work,18500000,1361.25,4,5,"MPCHS - Multi Gardens, B-17",8,0.060465116,0.048913043,0.3333333333333333,0.6666666666666666,13590.449954086318
House Of 1250 Square Feet Available In MPCHS - Block F,23000000,1524.6,6,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.10232558139534884,0.065217391,0.5555555555555556,0.8333333333333334,15085.924176833269
Multi Garden B-17 Prime Location F Block DESIGNER HOUSE SALE,19500000,1361.25,4,4,"MPCHS - Multi Gardens, B-17",8,0.069767442,0.048913043,0.3333333333333333,0.5,14325.068870523415
BRAND 10 MARLA NEW DESIGNER HOUSE B-17 F Block Available For Sale.,28800000,2722.5,6,6,"MPCHS - Multi Gardens, B-17",8,0.15627906976744188,0.18478260869565216,0.5555555555555556,0.8333333333333334,10578.512396694216
DESIGNER HOUSE Double Unit House Multi Gardens MPCHS B-17 Block F Islamabad.,21000000,1361.25,4,4,"MPCHS - Multi Gardens, B-17",8,0.08372093,0.048913043,0.3333333333333333,0.5,15426.997245179064
F Block 5 Marla House For Sale Modern Design House In B17,24000000,1361.25,3,5,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.11162790697674418,0.048913043,0.2222222222222222,0.6666666666666666,17630.853994490357
Capital SQ 1 Bed Apartments Brand New Ideal Location Available For Sale In B 17 Islamabad,,871.2,1,1,"MPCHS - Multi Gardens, B-17",8,,0,0,0,
"Investor Price 8 Marla Luxury Double Unit House For Sale In C Block B-17, Islamabad",34000000,2178,4,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.20465116279069767,0.13043478260869562,0.3333333333333333,0.8333333333333334,15610.651974288337
"14 Marla Double Unit House for Sale B Block, CDA Sector B-17, Islamabad",65000000,3811.5,6,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.49302325581395345,0.29347826086956524,0.5555555555555556,0.8333333333333334,17053.65341728978
"14 Marla Double Unit House For Sale Block B, B-17 Multi Gardens Islamabad",60000000,3811.5,6,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.44651162790697674,0.29347826086956524,0.5555555555555556,0.8333333333333334,15741.833923652106
1 Kanal Designer Double Heighted Luxurious Finishing House For Sale in Block B MPCHS Multi Gardens B-17 Islamabad.,95000000,5445,6,7,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.772093023,0.45652173913043476,0.5555555555555556,0.9999999999999999,17447.199265381085
10 Marla Designer House For Sale In Multi Garden B 17 Islamabad Block C1,46000000,2722.5,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.31627906976744186,0.18478260869565216,0.4444444444444445,0.8333333333333334,16896.23507805326
8 Marla Brand New House For Sale In Multi Garden B-17 Islamabad,32500000,2178,4,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.19069767441860463,0.13043478260869562,0.3333333333333333,0.8333333333333334,14921.946740128558
1 Kanal MDR 2nd to Corner in Block B. Double Unit House. Available For Sale in Multi Gardens. MPCHS B-17 Islamabad.,79500000,5445,6,7,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.627906977,0.45652173913043476,0.5555555555555556,0.9999999999999999,14600.550964187329
14 Marla House For Sale Available In B-17,58000000,3811.5,5,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.4279069767441861,0.29347826086956524,0.4444444444444445,0.8333333333333334,15217.106126197035
05 MARLA Good Location Double Story Brand new House Available For Sale At Reasonable Price,17500000,1524.6,5,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.051162791,0.065217391,0.4444444444444445,0.5,11478.42056932966
Designer House with Half Basement,95000000,5445,6,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.772093023,0.45652173913043476,0.5555555555555556,0.8333333333333334,17447.199265381085
Buying A House In Islamabad?,22500000,1524.6,4,4,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.097674419,0.065217391,0.3333333333333333,0.5,14757.96930342385
In MPCHS - Block C1 House Sized 7 Marla For Sale,38000000,1905.75,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.24186046511627907,0.10326086956521739,0.4444444444444445,0.8333333333333334,19939.656303292668
Multi Gardens B17 A Block 1 Kanal House Is Available For Sale,85000000,5445,6,7,"MPCHS - Block A, MPCHS - Multi Gardens",0,0.6790697674418604,0.45652173913043476,0.5555555555555556,0.9999999999999999,15610.651974288337
Designer House For Sale In B-17 Islamabad,46000000,2722.5,5,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.31627906976744186,0.18478260869565216,0.4444444444444445,0.8333333333333334,16896.23507805326
Beautiful prime location 5 Marla house for sale in C1 block Mpchs multi garden B-17 Islamabad,27000000,1361.25,4,5,"MPCHS - Multi Gardens, B-17",8,0.13953488372093026,0.048913043,0.3333333333333333,0.6666666666666666,19834.710743801654
MPCHS Multi Garden B-17 Islamabad 5 Marla Modern House Available For Sale VIP Location All Facilities Available On Walking Distance Reasonable Price,21900000,1361.25,4,6,"MPCHS - Multi Gardens, B-17",8,0.092093023,0.048913043,0.3333333333333333,0.8333333333333334,16088.154269972452
"Spacious A Plus Construction ! Furnished 10 Marla House! Available For Sale In Mpchs B17,",50000000,3267,4,6,"MPCHS - Multi Gardens, B-17",8,0.35348837209302325,0.2391304347826087,0.3333333333333333,0.8333333333333334,15304.560759106214
Prime location! 5 marla Single Story! Corner house! in MPCHS B-17,14900000,1361.25,2,2,"MPCHS - Multi Gardens, B-17",8,0.026976744,0.048913043,0.1111111111111111,0.16666666666666666,10945.821854912763
"8 Marla Brand New Double Story House. Available For Sale in Multi Gardens. MPCHS B-17, Islamabad.",31000000,2178,4,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.17674418604651165,0.13043478260869562,0.3333333333333333,0.8333333333333334,14233.24150596878
A+ Finishing | Elegant 5 Marla Double Unit House In Prime Location,22000000,1361.25,4,4,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.093023256,0.048913043,0.3333333333333333,0.5,16161.61616161616
Multi Garden B17 Islamabad House For Sale,34000000,2178,4,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.20465116279069767,0.13043478260869562,0.3333333333333333,0.8333333333333334,15610.651974288337
House Of 5 Marla For sale In MPCHS - Block C1,23000000,1361.25,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.10232558139534884,0.048913043,0.4444444444444445,0.8333333333333334,16896.23507805326
Centrally Located House Available In MPCHS - Block C For Sale,55000000,3375.9,5,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.4,0.25,0.4444444444444445,0.8333333333333334,16291.951775822743
This Is Your Chance To Buy House In MPCHS - Block C Islamabad,78000000,5445,5,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.6139534883720931,0.45652173913043476,0.4444444444444445,0.8333333333333334,14325.068870523415
You Can Find A Gorgeous House For Sale In MPCHS - Block B,78000000,3811.5,5,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.6139534883720931,0.29347826086956524,0.4444444444444445,0.8333333333333334,20464.38410074774
5 Marla House Is Available In MPCHS - Block C1,24000000,1361.25,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.11162790697674418,0.048913043,0.4444444444444445,0.8333333333333334,17630.853994490357
Designer House For Sale,68000000,3811.5,6,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.5209302325581395,0.29347826086956524,0.5555555555555556,0.8333333333333334,17840.745113472385
Reserve A Centrally Located House In MPCHS - Block B,57000000,3865.95,6,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.41860465116279066,0.29891304347826086,0.5555555555555556,0.8333333333333334,14744.11205525162
Buy A House Of 3200 Square Feet In MPCHS - Block C,88000000,3865.95,5,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.7069767441860465,0.29891304347826086,0.4444444444444445,0.8333333333333334,22762.839664248117
Beautiful Prime Location Modern Park Face 8 Marla House For Sale In Mpchs Multi Garden B-17 Islamabad,34000000,2178,5,6,"MPCHS - Multi Gardens, B-17",8,0.20465116279069767,0.13043478260869562,0.4444444444444445,0.8333333333333334,15610.651974288337
Your Ideal 14 Marla House Has Just Become Available In MPCHS - Multi Gardens,90000000,3811.5,6,6,"MPCHS - Multi Gardens, B-17",8,0.7255813953488373,0.29347826086956524,0.5555555555555556,0.8333333333333334,23612.75088547816
Multi B17 Islamabad House For Sale Brand New Size 8 Marla Good Location,41000000,2178,5,6,"MPCHS - Multi Gardens, B-17",8,0.26976744186046514,0.13043478260869562,0.4444444444444445,0.8333333333333334,18824.609733700643
B-17 Block F house for sale size 5 marla,22500000,1361.25,4,5,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.097674419,0.048913043,0.3333333333333333,0.6666666666666666,16528.92561983471
Lush Luxury House Is Available For Sale In B-17,90000000,5445,6,6,"MPCHS - Multi Gardens, B-17",8,0.7255813953488373,0.45652173913043476,0.5555555555555556,0.8333333333333334,16528.92561983471
8 Marla Brand New Double Unit House in Block E for Sale in MPCHS Multi Gardens B-17 Islamabad.,34000000,2178,6,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.20465116279069767,0.13043478260869562,0.5555555555555556,0.8333333333333334,15610.651974288337
A Perfect House Awaits You In MPCHS - Multi Gardens Islamabad,95000000,5445,9,6,"MPCHS - Multi Gardens, B-17",8,0.772093023,0.45652173913043476,0.8888888888888888,0.8333333333333334,17447.199265381085
8 Marla Brand New MDR House For Sale,36000000,2178,4,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.22325581395348837,0.13043478260869562,0.3333333333333333,0.8333333333333334,16528.92561983471
House Available For Sale B17 Block F,38000000,2722.5,4,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.24186046511627907,0.18478260869565216,0.3333333333333333,0.8333333333333334,13957.759412304868
Beautiful Prime Location Modern House Double Highted 1 Kanal House For Sale Available In A Block Mpchs Multi Garden B-17 Islamabad,85000000,5445,6,6,"MPCHS - Multi Gardens, B-17",8,0.6790697674418604,0.45652173913043476,0.5555555555555556,0.8333333333333334,15610.651974288337
Multi Gardens F Block 5 Marla Homes Brand New Ideal Location Available For Sale In B Islamabad,22000000,1361.25,5,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.093023256,0.048913043,0.4444444444444445,0.8333333333333334,16161.61616161616
House For Sale In B17,30000000,2178,4,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.16744186046511628,0.13043478260869562,0.3333333333333333,0.8333333333333334,13774.104683195592
7 Marla Soiled House With 7 Kva Soler,27500000,1905.75,4,5,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.14418604651162792,0.10326086956521739,0.3333333333333333,0.6666666666666666,14430.01443001443
5 Marla Single Unit House For Sale,17500000,1361.25,3,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.051162791,0.048913043,0.2222222222222222,0.5,12855.831037649219
9.5 Marla House For Sale Block C-1,46000000,2586.375,5,5,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.31627906976744186,0.17119565217391303,0.4444444444444445,0.6666666666666666,17785.510608477114
5 Marla Short Corner House Brand New,23500000,1361.25,4,5,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.10697674418604652,0.048913043,0.3333333333333333,0.6666666666666666,17263.54453627181
Fresh Designer Kanal House For Sale,69000000,5445,6,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.5302325581395348,0.45652173913043476,0.5555555555555556,0.8333333333333334,12672.176308539945
Luxurious Furnished 1Kanal House for Sale in B17,102000000,5989.500000000001,9,7,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.8372093023255814,0.5108695652173914,0.8888888888888888,0.9999999999999999,17029.802153769095
7 Marla House For Sale In B17-Islamabad,32500000,2178,4,5,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.19069767441860463,0.13043478260869562,0.3333333333333333,0.6666666666666666,14921.946740128558
"Beautiful House For Sale In FMC, B-17 Islamabad At Investor Rate",22500000,1361.25,4,4,"MPCHS - Multi Gardens, B-17",8,0.097674419,0.048913043,0.3333333333333333,0.5,16528.92561983471
Brand New Luxury Home for Sale B-17 MPCHS Islamabad 10 marla,46000000,2722.5,6,6,"MPCHS - Multi Gardens, B-17",8,0.31627906976744186,0.18478260869565216,0.5555555555555556,0.8333333333333334,16896.23507805326
Brand New House For Sale In MPCHS B-17 Islamabad,33000000,2178,4,5,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.19534883720930235,0.13043478260869562,0.3333333333333333,0.6666666666666666,15151.515151515152
"Brand New Park Facing Designer House for Sale CDA Sector B-17, Islamabad",35000000,2178,4,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.21395348837209305,0.13043478260869562,0.3333333333333333,0.8333333333333334,16069.788797061525
Prime Location 10 Marla House In MPCHS - Block B,50000000,2722.5,4,4,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.35348837209302325,0.18478260869565216,0.3333333333333333,0.5,18365.472910927456
My Own Luxury 2 Kanal Brand New House For Sale,119500000,10890,8,7,"MPCHS - Multi Gardens, B-17",8,1,0.9999999999999999,0.7777777777777777,0.9999999999999999,10973.370064279155
Designer House For Sale In B17 Multi Garden,46000000,2450.25,6,6,"MPCHS - Multi Gardens, B-17",8,0.31627906976744186,0.1576086956521739,0.5555555555555556,0.8333333333333334,18773.59453117029
5 Marla Double Story Designer House For Sale In C-1 Block B-17 Islamabad.,28000000,1361.25,4,5,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.14883720930232558,0.048913043,0.3333333333333333,0.6666666666666666,20569.329660238753
Brand New House Modern Design Double Heighted Lobby,46000000,2722.5,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.31627906976744186,0.18478260869565216,0.4444444444444445,0.8333333333333334,16896.23507805326
8 Marla Semi Furnished House,35000000,2178,6,6,"MPCHS - Multi Gardens, B-17",8,0.21395348837209305,0.13043478260869562,0.5555555555555556,0.8333333333333334,16069.788797061525
10 Marla House For Sale In Sector B-17 Multi Gardens Block C1,57500000,2722.5,5,6,"MPCHS - Multi Gardens, B-17",8,0.4232558139534883,0.18478260869565216,0.4444444444444445,0.8333333333333334,21120.293847566576
"Brand New 5 Marla House For Sale In B-17 Block F! 4 Bedrooms, 2 Kitchens, Prime Location Dont Miss Out!",21500000,1361.25,4,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.088372093,0.048913043,0.3333333333333333,0.5,15794.306703397613
9.5 Marla House For Sale In B-17 Islamabad Block C-1,44500000,2450.25,9,7,"MPCHS - Multi Gardens, B-17",8,0.3023255813953488,0.1576086956521739,0.8888888888888888,0.9999999999999999,18161.41210080604
Multi Gardens C1 Block Homes Brand New Ideal Location Available For Sale In B-17 Islamabad,23000000,1361.25,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.10232558139534884,0.048913043,0.4444444444444445,0.8333333333333334,16896.23507805326
"10 Marla House For Sale, In B-17, C Block, ISLAMABAD",38000000,2722.5,7,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.24186046511627907,0.18478260869565216,0.6666666666666665,0.8333333333333334,13957.759412304868
8 Marla Corner Luxury House For Sale In Multi Garden B 17 Islamabad,43000000,2178,4,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.28837209302325584,0.13043478260869562,0.3333333333333333,0.8333333333333334,19742.883379247014
5 Marla Brand New House For Sale In Multi Garden B 17 Islamabad,21000000,1361.25,4,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.08372093,0.048913043,0.3333333333333333,0.8333333333333334,15426.997245179064
Best And Developed Located 8 Marla House For Sale In MPCHS-Block C1,30000000,2178,4,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.16744186046511628,0.13043478260869562,0.3333333333333333,0.8333333333333334,13774.104683195592
5 Marla Spauious Single Unit ! Prime Location ! 4 Marla Extra Land! Good Option For Bank Lease !,18000000,1361.25,3,3,"MPCHS - Multi Gardens, B-17",8,0.055813953,0.048913043,0.2222222222222222,0.33333333333333337,13223.140495867769
Specious House! Investor Price! Double Unit!Only 1.68 Cr ! In B-17 MPCHS,16800000,1361.25,4,4,"MPCHS - Multi Gardens, B-17",8,0.044651163,0.048913043,0.3333333333333333,0.5,12341.59779614325
8 Marla Brand New Double Story House. Available For Sale in Multi Gardens. MPCHS B-17 Islamabad.,26000000,2178,6,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.13023255813953488,0.13043478260869562,0.5555555555555556,0.8333333333333334,11937.557392102846
25x50 House With A+ Construction For Sale In F Block,16800000,1361.25,4,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.044651163,0.048913043,0.3333333333333333,0.5,12341.59779614325
Prime Location House For sale In B 17 Islamabad,70000000,3811.5,5,5,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.5395348837209303,0.29347826086956524,0.4444444444444445,0.6666666666666666,18365.472910927456
7 Marla Spacious House Available In MPCHS - Block F For sale,32000000,1905.75,5,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.18604651162790697,0.10326086956521739,0.4444444444444445,0.8333333333333334,16791.289518562247
Ready To Sale A House 1800 Square Feet In MPCHS - Block E Islamabad,31500000,2178,5,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.1813953488372093,0.13043478260869562,0.4444444444444445,0.8333333333333334,14462.809917355371
A House Of 7 Marla In Islamabad,30000000,1905.75,5,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.16744186046511628,0.10326086956521739,0.4444444444444445,0.8333333333333334,15741.833923652106
Spacious 5 Marla House Available For sale In MPCHS - Block F,27000000,1361.25,4,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.13953488372093026,0.048913043,0.3333333333333333,0.5,19834.710743801654
Your Search For Main Double Road House In Islamabad Ends Here,25000000,1361.25,3,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.12093023255813953,0.048913043,0.2222222222222222,0.5,18365.472910927456
Avail Yourself A Great 1800 Square Feet House In MPCHS - Block E,35000000,2178,4,4,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.21395348837209305,0.13043478260869562,0.3333333333333333,0.5,16069.788797061525
5 Marla Villa Available For Sale In Multi Garden B-17 Islamabad,15000000,1361.25,3,4,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.027906976744186046,0.048913043,0.2222222222222222,0.5,11019.283746556473
8 Marla Brand New Luxury House For Sale In Multi Garden B 17 Islamabad,35000000,2178,4,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.21395348837209305,0.13043478260869562,0.3333333333333333,0.8333333333333334,16069.788797061525
8 Marla Brand New Luxury House For Sale In Multi Garden B-17 Islamabad,35000000,2178,4,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.21395348837209305,0.13043478260869562,0.3333333333333333,0.8333333333333334,16069.788797061525
8 Marla Brand New Luxury House For Sale In Multi Garden B 17 Islamabad,32500000,2178,4,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.19069767441860463,0.13043478260869562,0.3333333333333333,0.8333333333333334,14921.946740128558
